Date,ARKK,SPY,FNGU
2020-03-02,52.79,294.65,80.15
2020-03-03,51.73,286.22,73.85
2020-03-04,53.49,298.25,80.57
2020-03-05,52.24,288.33,73.8
2020-03-06,50.87,283.57,68.17
2020-03-09,46.64,261.42,53.75
2020-03-10,48.86,274.95,62.71
2020-03-11,45.82,261.54,54.8
2020-03-12,40.05,236.52,38.78
2020-03-13,41.88,256.74,43.96
2020-03-16,35.36,228.65,32.01
2020-03-17,37.32,240.99,30.0
2020-03-18,33.86,228.79,26.5
2020-03-19,36.91,229.28,30.26
2020-03-20,36.95,219.4,28.5
2020-03-23,37.44,213.79,30.1
2020-03-24,41.15,233.16,36.6
2020-03-25,42.75,236.65,36.26
2020-03-26,44.88,250.46,39.5
2020-03-27,42.72,243.0,36.39
2020-03-30,43.54,250.89,38.86
2020-03-31,42.95,247.16,39.81
2020-04-01,39.28,236.03,34.01
2020-04-02,39.53,241.48,34.07
2020-04-03,39.24,237.99,33.45
2020-04-06,43.13,253.97,40.17
2020-04-07,43.17,254.23,40.85
2020-04-08,44.91,262.77,42.61
2020-04-09,46.16,266.76,43.55
2020-04-13,46.71,264.33,48.54
2020-04-14,49.18,272.12,55.56
2020-04-15,48.38,266.34,56.81
2020-04-16,49.4,267.63,59.84
2020-04-17,51.02,274.86,58.79
2020-04-20,51.54,270.02,59.03
2020-04-21,49.41,261.82,52.27
2020-04-22,51.17,267.63,57.72
2020-04-23,50.77,267.61,56.97
2020-04-24,51.8,271.34,59.18
2020-04-27,54.32,275.25,61.66
2020-04-28,52.76,273.98,56.45
2020-04-29,55.28,281.16,63.6
2020-04-30,54.01,278.54,63.64
2020-05-01,51.13,271.17,56.35
2020-05-04,53.02,271.91,59.48
2020-05-05,53.75,274.43,60.5
2020-05-06,54.01,272.57,61.98
2020-05-07,55.25,275.85,64.51
2020-05-08,56.91,280.42,68.29
2020-05-11,58.26,280.48,70.1
2020-05-12,56.78,274.89,66.33
2020-05-13,54.99,270.02,63.8
2020-05-14,54.91,273.26,65.99
2020-05-15,56.71,274.51,69.48
2020-05-18,58.45,282.87,74.68
2020-05-19,58.4,279.97,75.45
2020-05-20,60.35,284.72,80.5
2020-05-21,60.5,282.76,79.3
2020-05-22,61.27,283.3,77.2
2020-05-26,61.4,286.79,77.78
2020-05-27,61.02,291.05,75.85
2020-05-28,60.28,290.52,73.17
2020-05-29,61.32,291.81,75.86
2020-06-01,63.26,292.99,80.03
2020-06-02,64.04,295.42,81.11
2020-06-03,64.3,299.35,84.41
2020-06-04,62.43,298.56,80.33
2020-06-05,62.72,306.21,85.5
2020-06-08,63.81,309.91,89.8
2020-06-09,64.05,307.6,93.18
2020-06-10,64.93,305.89,98.17
2020-06-11,60.1,288.25,84.09
2020-06-12,60.93,291.71,85.76
2020-06-15,63.1,294.43,89.94
2020-06-16,65.1,300.1,94.41
2020-06-17,64.92,298.85,96.22
2020-06-18,66.02,298.96,96.36
2020-06-19,66.41,297.26,95.5
2020-06-22,69.59,299.16,99.4
2020-06-23,70.68,300.54,101.55
2020-06-24,67.65,292.87,95.25
2020-06-25,68.9,296.01,97.5
2020-06-26,67.33,288.98,85.88
2020-06-29,67.71,293.23,88.98
2020-06-30,69.61,296.99,93.92
2020-07-01,71.75,299.07,100.95
2020-07-02,73.16,300.71,105.73
2020-07-06,75.9,305.36,122.65
2020-07-07,76.96,302.21,121.37
2020-07-08,78.8,304.52,131.0
2020-07-09,79.15,302.78,137.25
2020-07-10,78.96,305.88,145.82
2020-07-13,76.28,303.23,132.97
2020-07-14,76.94,307.16,134.82
2020-07-15,79.0,309.98,135.78
2020-07-16,77.86,308.96,131.49
2020-07-17,78.75,309.85,129.66
2020-07-20,82.03,312.36,144.98
2020-07-21,80.56,313.02,139.0
2020-07-22,80.57,314.8,138.17
2020-07-23,78.55,311.05,128.45
2020-07-24,76.95,309.04,123.82
2020-07-27,80.02,311.3,130.47
2020-07-28,77.46,309.32,124.5
2020-07-29,78.16,313.13,129.17
2020-07-30,78.49,312.01,130.0
2020-07-31,78.46,314.48,135.0
2020-08-03,81.69,316.66,140.18
2020-08-04,82.2,317.89,144.45
2020-08-05,83.57,319.86,146.42
2020-08-06,82.85,322.0,153.12
2020-08-07,80.53,322.23,145.04
2020-08-10,81.48,323.19,141.7
2020-08-11,79.64,320.52,134.5
2020-08-12,81.95,324.99,148.2
2020-08-13,83.72,324.41,152.2
2020-08-14,82.7,324.42,151.25
2020-08-17,85.54,325.45,165.5
2020-08-18,86.47,326.15,171.8
2020-08-19,86.74,324.79,170.6
2020-08-20,87.35,325.8,180.26
2020-08-21,87.69,326.96,188.38
2020-08-24,86.35,330.27,192.5
2020-08-25,87.37,331.43,198.99
2020-08-26,89.22,334.75,221.4
2020-08-27,88.61,335.48,215.0
2020-08-28,90.16,337.65,219.94
2020-08-31,93.06,336.43,234.21
2020-09-01,94.9,339.59,244.65
2020-09-02,94.66,344.51,244.99
2020-09-03,87.67,332.65,201.08
2020-09-04,84.98,329.93,194.5
2020-09-08,81.12,320.92,152.21
2020-09-09,84.52,327.26,169.0
2020-09-10,83.8,321.57,160.67
2020-09-11,83.32,321.74,159.75
2020-09-14,86.97,325.98,172.48
2020-09-15,89.64,327.62,186.0
2020-09-16,89.46,326.32,176.76
2020-09-17,87.17,323.45,165.99
2020-09-18,87.74,319.73,165.49
2020-09-21,88.42,316.17,168.65
2020-09-22,89.53,319.39,176.78
2020-09-23,85.86,311.98,162.0
2020-09-24,85.81,312.81,161.54
2020-09-25,88.59,317.87,172.85
2020-09-28,89.54,323.15,182.48
2020-09-29,90.56,321.39,183.3
2020-09-30,89.81,323.83,192.07
2020-10-01,92.29,325.91,202.64
2020-10-02,90.12,322.81,185.58
2020-10-05,93.61,328.54,197.31
2020-10-06,93.39,323.87,187.01
2020-10-07,96.85,329.5,197.24
2020-10-08,98.18,332.42,199.88
2020-10-09,100.31,335.39,204.12
2020-10-12,99.89,340.79,224.97
2020-10-13,102.33,338.56,224.92
2020-10-14,101.3,336.44,222.71
2020-10-15,100.38,336.02,214.82
2020-10-16,100.31,335.82,209.71
2020-10-19,99.82,330.71,202.0
2020-10-20,98.43,332.04,205.85
2020-10-21,95.62,331.41,211.01
2020-10-22,96.23,333.23,208.95
2020-10-23,96.82,334.36,213.7
2020-10-26,94.89,328.18,204.0
2020-10-27,96.28,327.05,217.28
2020-10-28,92.49,315.87,191.38
2020-10-29,93.7,319.08,207.51
2020-10-30,88.63,315.75,175.26
2020-11-02,88.64,319.29,174.25
2020-11-03,90.94,324.93,180.8
2020-11-04,95.19,332.19,204.25
2020-11-05,98.42,338.67,218.45
2020-11-06,99.65,338.59,219.96
2020-11-09,95.11,342.85,199.48
2020-11-10,92.5,342.35,183.67
2020-11-11,96.38,344.89,194.62
2020-11-12,96.54,341.54,191.0
2020-11-13,97.03,346.27,192.55
2020-11-16,97.17,350.59,194.85
2020-11-17,98.82,348.71,194.04
2020-11-18,98.62,344.51,197.18
2020-11-19,100.8,345.96,199.25
2020-11-20,102.4,343.59,197.99
2020-11-23,104.86,345.65,196.0
2020-11-24,103.61,351.22,207.99
2020-11-25,105.9,350.68,215.49
2020-11-27,109.12,351.66,221.3
2020-11-30,109.69,350.1,215.42
2020-12-01,110.08,353.93,226.64
2020-12-02,109.67,354.67,229.11
2020-12-03,111.56,354.58,230.37
2020-12-04,114.4,357.63,231.16
2020-12-07,117.81,356.9,241.25
2020-12-08,119.26,357.94,240.67
2020-12-09,117.12,354.73,226.91
2020-12-10,122.22,354.62,240.6
2020-12-11,120.92,354.2,239.4
2020-12-14,121.29,352.62,247.1
2020-12-15,121.34,357.38,261.96
2020-12-16,121.0,357.94,268.3
2020-12-17,123.07,359.94,276.5
2020-12-18,124.27,358.51,277.83
2020-12-21,128.21,357.23,275.34
2020-12-22,131.83,356.62,270.49
2020-12-23,131.75,356.94,268.25
2020-12-24,129.86,358.33,258.18
2020-12-28,126.71,361.41,270.36
2020-12-29,123.3,360.72,277.0
2020-12-30,126.06,361.24,288.63
2020-12-31,123.47,363.07,286.69
