Date,ARKK Actual Adjusted Close,ARKK Forecasted Adjusted Close
2022-01-04,92.69,97.24
2022-01-05,86.12,93.75
2022-01-06,85.58,86.77
2022-01-07,84.42,84.93
2022-01-10,84.64,84.43
2022-01-11,86.98,84.91
2022-01-12,84.56,87.33
2022-01-13,79.98,85.6
2022-01-14,80.24,80.69
2022-01-18,76.91,79.88
2022-01-19,75.75,77.32
2022-01-20,75.87,75.84
2022-01-21,71.52,75.99
2022-01-24,73.54,72.31
2022-01-25,70.8,73.25
2022-01-26,69.03,71.49
2022-01-27,66.33,69.35
2022-01-28,68.91,66.62
2022-01-31,75.43,68.6
2022-02-01,77.08,75.55
2022-02-02,73.14,78.37
2022-02-03,69.04,74.5
2022-02-04,72.75,69.36
2022-02-07,72.48,71.89
2022-02-08,72.39,73.07
2022-02-09,76.11,73.03
2022-02-10,73.76,76.29
2022-02-11,71.9,74.85
2022-02-14,71.39,72.38
2022-02-15,75.28,71.44
2022-02-16,72.87,75.16
2022-02-17,68.18,74.0
2022-02-18,64.8,69.0
2022-02-22,63.39,64.79
2022-02-23,60.88,63.15
2022-02-24,65.62,61.18
2022-02-25,67.82,65.32
2022-02-28,70.47,68.65
2022-03-01,68.31,71.24
2022-03-02,67.56,69.35
2022-03-03,63.26,67.77
2022-03-04,60.23,63.71
2022-03-07,58.05,60.2
2022-03-08,58.62,58.0
2022-03-09,61.71,58.57
2022-03-10,59.54,61.91
2022-03-11,55.58,60.67
2022-03-14,52.29,56.31
2022-03-15,54.39,52.36
2022-03-16,60.04,53.85
2022-03-17,62.93,60.05
2022-03-18,65.77,63.95
2022-03-21,63.98,66.54
2022-03-22,66.97,64.9
2022-03-23,65.67,66.77
2022-03-24,66.4,66.25
2022-03-25,64.51,66.58
2022-03-28,67.06,65.04
2022-03-29,71.39,66.97
2022-03-30,68.68,71.66
